"site_name","station_name","date","latitude","longitude","period","air_temp_mean","air_temp_max","air_temp_min","precip_mean","precip_max","precip_total","precip_max_hourly_mean","precip_max_hourly_max","relative_humidity_mean","relative_humidity_max","relative_humidity_min","atmospheric_pressure_mean","atmospheric_pressure_max","atmospheric_pressure_min","battery_percent_mean","battery_percent_max","battery_percent_min"
"acacia","upepo","2021-10-24",-3.2325648,35.509532,3,21.7508510638298,28.68,15.41,0,0,0,0,0,0.525641392893181,0.751080388206612,0.337710402117921,82.0082978723404,82.19,81.83,100,100,100
"acacia","upepo","2021-10-25",-3.2325648,35.509532,3,21.7495744680851,29.01,15.27,0,0,0,0,0,0.520175453050327,0.798234413201092,0.289263833520492,82.0425531914894,82.2,81.82,100,100,100
"acacia","upepo","2021-10-26",-3.2325648,35.509532,3,21.0697872340426,26.83,15.84,0,0,0,0,0,0.553487768154532,0.777624572965809,0.368451882390034,82.0944680851064,82.31,81.94,100,100,100
"acacia","upepo","2021-10-27",-3.2325648,35.509532,3,19.3731914893617,25.66,15.83,0,0,0,0,0,0.653059851121651,0.793632348926729,0.411401415504852,82.1608510638298,82.38,81.89,100,100,100
"acacia","upepo","2021-10-28",-3.2325648,35.509532,3,20.3176595744681,25.68,15.55,0,0,0,0,0,0.545270091909095,0.83655990662111,0.373251658444579,82.0410638297872,82.23,81.81,100,100,100
"acacia","upepo","2021-10-29",-3.2325648,35.509532,3,20.3463829787234,26.55,15.19,0,0,0,0,0,0.591280533625218,0.780122663744805,0.426784172453352,81.9138297872341,82.08,81.74,100,100,100
"acacia","upepo","2021-10-30",-3.2325648,35.509532,3,20.9246808510638,26.85,14.54,0,0,0,0,0,0.595093099748585,0.831226303031622,0.427642121431507,81.901914893617,82.04,81.7,100,100,100
"acacia","upepo","2021-10-31",-3.2325648,35.509532,3,18.9208510638298,26.22,14.99,0.374468085106383,11.6,17.6,3.31914893617021,84,0.708766403885662,0.899060582572669,0.416314935281152,81.9906382978723,82.16,81.83,100,100,100
"acacia","upepo","2021-11-01",-3.2325648,35.509532,3,21.1985106382979,26.92,16.06,0,0,0,0,0,0.565381958049925,0.782434994716806,0.324155059428091,81.9106382978723,82.11,81.67,100,100,100
"acacia","upepo","2021-11-02",-3.2325648,35.509532,3,19.5,27.18,13.9,0.0127659574468085,0.4,0.6,0.51063829787234,12,0.645476507876668,0.815999584692896,0.398716933104219,81.9608510638298,82.24,81.69,100,100,100
"acacia","upepo","2021-11-03",-3.2325648,35.509532,3,18.1340425531915,26.64,13.83,0.502127659574468,17,23.6,5.61702127659574,120,0.785975301848746,0.939884421241435,0.436509094914512,82.0744680851064,82.23,81.8,100,100,100
"acacia","upepo","2021-11-04",-3.2325648,35.509532,3,20.348085106383,27.31,14.11,0,0,0,0,0,0.648091095845174,0.953512020829263,0.375820920037835,82.0270212765957,82.2,81.78,100,100,100
"acacia","upepo","2021-11-05",-3.2325648,35.509532,3,20.7095744680851,25.35,17.52,0,0,0,0,0,0.618902038243811,0.752849859716616,0.455049603149373,82.021914893617,82.22,81.82,100,100,100
"acacia","upepo","2021-11-06",-3.2325648,35.509532,3,20.6374468085106,25.74,16.78,0,0,0,0,0,0.543144589694925,0.791899446783152,0.287057601949174,81.966170212766,82.17,81.76,100,100,100
"acacia","upepo","2021-11-07",-3.2325648,35.509532,3,20.8082978723404,26.84,15.26,0,0,0,0,0,0.366473829933622,0.649909348181826,0.21895836171396,81.86,82.04,81.67,100,100,100
"acacia","upepo","2021-11-08",-3.2325648,35.509532,3,20.3612765957447,26.39,14.25,0,0,0,0,0,0.466831251996106,0.740676079848311,0.291738852947998,81.8446808510638,82.01,81.69,100,100,100
"acacia","upepo","2021-11-09",-3.2325648,35.509532,3,21.1414893617021,27.66,15.29,0,0,0,0,0,0.483521992380994,0.689494223216145,0.301737796439673,81.9565957446809,82.13,81.8,100,100,100
"acacia","upepo","2021-11-10",-3.2325648,35.509532,3,21.1378723404255,27.21,16.18,0,0,0,0,0,0.523558771891089,0.766238653414318,0.34590809240703,81.9989361702128,82.16,81.82,100,100,100
"acacia","upepo","2021-11-11",-3.2325648,35.509532,3,21.2574468085106,26.88,16.54,0,0,0,0,0,0.507714250775681,0.753907806334882,0.319321944941223,81.8751063829787,82.05,81.66,100,100,100
"acacia","upepo","2021-11-12",-3.2325648,35.509532,3,21.5117021276596,27.34,15.59,0,0,0,0,0,0.493651998589653,0.739162934683166,0.316228117972477,81.8489361702128,82.03,81.63,100,100,100
"acacia","upepo","2021-11-13",-3.2325648,35.509532,3,21.023829787234,26.83,16.1,0,0,0,0,0,0.515751386775517,0.698950355717014,0.347120680383924,81.8959574468085,82.09,81.7,100,100,100
"acacia","upepo","2021-11-14",-3.2325648,35.509532,3,20.9382978723404,26.32,16.36,0,0,0,0,0,0.550103063595246,0.746402470523102,0.379643575772895,81.9540425531915,82.14,81.8,100,100,100
"acacia","upepo","2021-11-15",-3.2325648,35.509532,3,20.761914893617,26.49,16.76,0,0,0,0,0,0.597191907955044,0.777173343024656,0.425536526203854,81.9217021276596,82.11,81.7,100,100,100
"acacia","upepo","2021-11-16",-3.2325648,35.509532,3,19.8334042553191,25.43,15.81,0,0,0,0,0,0.615948499956708,0.84852008592494,0.470725512666719,81.8170212765957,81.98,81.56,100,100,100
"acacia","upepo","2021-11-17",-3.2325648,35.509532,3,21.0506382978723,26.79,15.38,0,0,0,0,0,0.53558533752302,0.774862986278946,0.372160656341232,81.8259574468085,81.99,81.65,100,100,100
"acacia","upepo","2021-11-18",-3.2325648,35.509532,3,20.2395744680851,27.21,16.45,0,0,0,0,0,0.599790958201468,0.786222312018489,0.390255283741265,81.9427659574468,82.09,81.76,100,100,100
"acacia","upepo","2021-11-19",-3.2325648,35.509532,3,21.9176595744681,28.58,15.99,0,0,0,0,0,0.483414382613123,0.766112737282196,0.170441077310082,81.8882978723404,82.07,81.63,100,100,100
"acacia","upepo","2021-11-20",-3.2325648,35.509532,3,21.9006382978723,27.76,14.38,0,0,0,0,0,0.487343933941016,0.745191881007022,0.231159734829698,81.7727659574468,81.97,81.51,100,100,100
"acacia","upepo","2021-11-21",-3.2325648,35.509532,3,21.741914893617,27.3,16.2,0,0,0,0,0,0.508069458243528,0.816777798639518,0.295286997208819,81.7721276595745,81.95,81.56,100,100,100
"acacia","upepo","2021-11-22",-3.2325648,35.509532,3,21.4697872340426,27.55,16.02,0,0,0,0,0,0.49687098497227,0.720669507101626,0.309294176003067,81.8897872340426,82.03,81.68,100,100,100
"acacia","upepo","2021-11-23",-3.2325648,35.509532,3,19.7542553191489,27.3,16.12,0.204255319148936,4.6,9.6,1.78723404255319,48,0.609687331805858,0.853093561288337,0.347396467304493,81.951914893617,82.15,81.74,100,100,100
"acacia","upepo","2021-11-24",-3.2325648,35.509532,3,21.4631914893617,28.52,16.52,0,0,0,0,0,0.538379506896931,0.755143910610052,0.312736605663952,81.8370212765957,82.04,81.57,100,100,100
